Date;DK0010181759;NL0011585146
29/04/2026;836;337,54
28/04/2026;815,4;342,71
27/04/2026;805,6;347,81
24/04/2026;803,8;351,95
23/04/2026;809;354,19
22/04/2026;819,2;358,58
21/04/2026;823;358,5
20/04/2026;836,2;372,84
17/04/2026;846,4;372,85
16/04/2026;825,2;356,52
15/04/2026;823,6;357,06
14/04/2026;832,6;358,13
13/04/2026;844;355,14
10/04/2026;862,6;351,89
09/04/2026;848;352,22
08/04/2026;859;351,3
07/04/2026;825;334,57
01/04/2026;820;342,43
31/03/2026;803,2;338,45
30/03/2026;798;327,2
27/03/2026;796,6;317,4
26/03/2026;802,6;323,58
25/03/2026;790,6;322,17
24/03/2026;785;322,02
23/03/2026;793,2;329,16
20/03/2026;793,2;314,63
19/03/2026;806,4;321,01
18/03/2026;846,6;330,47
17/03/2026;866,8;336,48
16/03/2026;887;334,36
13/03/2026;881,4;331,86
12/03/2026;878,8;334,55
11/03/2026;896,2;340,61
10/03/2026;900,8;346,56
09/03/2026;893,8;346,58
06/03/2026;911,6;350,08
05/03/2026;914,8;358,03
04/03/2026;934,8;365,09
03/03/2026;951;361,13
02/03/2026;969,2;362,75
27/02/2026;983,2;379,92
26/02/2026;983,8;376,19
25/02/2026;971,6;373,34
24/02/2026;991,2;373,92
23/02/2026;1000;358,42
20/02/2026;996,4;366,95
19/02/2026;995,4;366,5
18/02/2026;991,8;366,43
17/02/2026;985,2;374,99
16/02/2026;1000,5;379,08
13/02/2026;997;379,08
12/02/2026;1015;391,21
11/02/2026;992,8;382,96
10/02/2026;979,6;363,22
09/02/2026;976,6;336,13
06/02/2026;962;333,79
05/02/2026;939;334,76
04/02/2026;922,6;339,33
03/02/2026;883;330,32
02/02/2026;878,6;336,33
30/01/2026;853;333,17
29/01/2026;851,8;338,45
28/01/2026;843;333,46
27/01/2026;843,4;337,4
26/01/2026;850,8;340,45
23/01/2026;845,6;338,53
22/01/2026;859;337,55
21/01/2026;848;341,68
20/01/2026;844,4;336,78
19/01/2026;845,8;345,23
16/01/2026;857;345,23
15/01/2026;861,4;354,57
14/01/2026;859,4;353,39
13/01/2026;836,8;360,09
12/01/2026;838,6;377,2
09/01/2026;845,2;376,19
08/01/2026;846;370,85
07/01/2026;817;366,81
06/01/2026;827,6;371,96
05/01/2026;811;379,27
02/01/2026;825,8;371,89
30/12/2025;835,2;372,48
29/12/2025;832,6;375,75
23/12/2025;823,2;375,91
22/12/2025;823,8;375,25
19/12/2025;836;378,29
18/12/2025;835,4;372,65
17/12/2025;833,8;365,51
16/12/2025;838;370,42
15/12/2025;830,6;368,6
12/12/2025;834,4;367,13
11/12/2025;820,4;367,96
10/12/2025;804,2;364,04
09/12/2025;805,8;375,35
08/12/2025;797,8;382,98
05/12/2025;815,6;393,21
04/12/2025;815;393,23
03/12/2025;803,8;393,84
02/12/2025;801,8;386,56
01/12/2025;810,6;386,93
28/11/2025;799,6;391,9
27/11/2025;804,2;382,8
26/11/2025;796;382,8
25/11/2025;793,6;385,14
24/11/2025;784,6;381,58
21/11/2025;786,6;389,19
20/11/2025;766,4;383,15
19/11/2025;764,8;389,83
18/11/2025;757,4;397,83
17/11/2025;769,8;405,38
14/11/2025;781,8;417,16
13/11/2025;798;417,81
12/11/2025;793;419,52
11/11/2025;794;422,46
10/11/2025;779,2;411,4
07/11/2025;784;413,26
06/11/2025;785;405,62
05/11/2025;779;406,67
04/11/2025;772,8;399,39
03/11/2025;768;392,03
31/10/2025;761,6;403,95
30/10/2025;768;396
29/10/2025;780,6;391,44
28/10/2025;782,4;402,27
27/10/2025;781,4;407,46
24/10/2025;788,6;408,31
23/10/2025;792,6;402,85
22/10/2025;801,4;394,06
21/10/2025;796,4;400,46
20/10/2025;791,6;398,31
17/10/2025;793,8;399,08
16/10/2025;779,2;392,46
15/10/2025;761;389,56
14/10/2025;752,8;382,19
13/10/2025;758;378,72
10/10/2025;757,4;395,72
09/10/2025;749;407,38
08/10/2025;749,8;479,21
07/10/2025;745,4;490,86
06/10/2025;740,8;491,53
03/10/2025;744,4;501,15
02/10/2025;756,4;504,09
01/10/2025;751,8;490,24
30/09/2025;738,8;485,22
29/09/2025;748,6;482,04
26/09/2025;748,4;475,36
25/09/2025;750,2;473,17
24/09/2025;747,2;480,6
23/09/2025;749,2;486,5
22/09/2025;745,2;477,74
19/09/2025;755;479,59
18/09/2025;754;483,77
17/09/2025;762;470,03
16/09/2025;760,6;480,33
15/09/2025;772,4;478,94
12/09/2025;770;478
11/09/2025;773,8;479,36
10/09/2025;772,6;473,62
09/09/2025;780;479,62
08/09/2025;768,8;478,97
05/09/2025;784,2;488,77
04/09/2025;784,6;495,19
03/09/2025;780;494,82
02/09/2025;785;492,08
01/09/2025;781;477,21
29/08/2025;780,4;477,21
28/08/2025;783,6;478,98
27/08/2025;766,4;469,36
26/08/2025;768,4;467,94
25/08/2025;776,6;467,54
22/08/2025;778,6;471,02
21/08/2025;777,6;467,02
20/08/2025;777,8;468,42
19/08/2025;771;471,5
18/08/2025;752;463,17
15/08/2025;753;460,55
14/08/2025;754,2;464,43
13/08/2025;811,6;451,21
12/08/2025;817;446,16
11/08/2025;814,8;441,35
08/08/2025;819,2;443,84
07/08/2025;823,4;448,68
06/08/2025;814,6;442,92
05/08/2025;823,6;441,79
04/08/2025;817,6;438,32
01/08/2025;824,6;436,24
31/07/2025;818,4;443,39
30/07/2025;836,4;498,79
29/07/2025;838;505,42
28/07/2025;853,2;507,31
25/07/2025;880;517,65
24/07/2025;898;516,2
23/07/2025;900,8;517,56
22/07/2025;898;500,81
21/07/2025;885,8;507,34
18/07/2025;889,4;505,4
17/07/2025;885,6;506,19
16/07/2025;887,4;505,3
15/07/2025;891,6;487,11
14/07/2025;907;488,29
11/07/2025;906,8;490,66
10/07/2025;908,8;497,94
09/07/2025;905,6;491,01
08/07/2025;900,4;489,03
07/07/2025;904;486,32
04/07/2025;911,4;490,2
03/07/2025;910,2;490,2
02/07/2025;907,4;491,56
01/07/2025;907,6;489,37
30/06/2025;897,4;490,74
27/06/2025;889,8;491,1
26/06/2025;891,8;477,54
25/06/2025;888,4;475,12
24/06/2025;909,8;472,42
23/06/2025;909,6;461,08
20/06/2025;904,6;459,05
19/06/2025;896,8;460,51
18/06/2025;896,6;460,51
17/06/2025;884;460,65
16/06/2025;904,4;464,81
13/06/2025;932,4;463,44
12/06/2025;935;472,66
11/06/2025;933,8;482,39
10/06/2025;938;486,39
06/06/2025;937,6;482,61
04/06/2025;954,8;480,96
03/06/2025;941;475,74
02/06/2025;951;480,08
28/05/2025;939,2;475,4
27/05/2025;947,4;483,47
26/05/2025;945,2;476,22
23/05/2025;942,2;476,22
22/05/2025;944,6;491,3
21/05/2025;938,8;496,12
20/05/2025;943,8;499,02
19/05/2025;937,4;497,63
16/05/2025;934,4;498,74
15/05/2025;932,6;494,79
14/05/2025;911,6;495,65
13/05/2025;911,8;490,88
12/05/2025;916,2;486,76
09/05/2025;910,8;488,28
08/05/2025;901,4;480,71
